intersection,street_1,street_2,zipcode,longitude,latitude
N ABERDEEN ST & N OGDEN AVE,N ABERDEEN ST,N OGDEN AVE,60642,-87.65528,41.8955
N ABERDEEN ST & W ANCONA ST,N ABERDEEN ST,W ANCONA ST,60642,-87.65413,41.89408
N ABERDEEN ST & W CARROLL AVE,N ABERDEEN ST,W CARROLL AVE,60607,-87.65453,41.88773
N ABERDEEN ST & W FULTON MARKET,N ABERDEEN ST,W FULTON MARKET,60607,-87.6545,41.8867
N ABERDEEN ST & W GRAND AVE,N ABERDEEN ST,W GRAND AVE,60642,-87.65463,41.89111
N ABERDEEN ST & W HUBBARD ST,N ABERDEEN ST,W HUBBARD ST,60642,-87.6546,41.89002
N ABERDEEN ST & W HURON ST,N ABERDEEN ST,W HURON ST,60642,-87.65419,41.89439
N ABERDEEN ST & W KINZIE ST,N ABERDEEN ST,W KINZIE ST,60642,-87.65457,41.88898
N ABERDEEN ST & W LAKE ST,N ABERDEEN ST,W LAKE ST,60607,-87.65447,41.88554
N ABERDEEN ST & W MADISON ST,N ABERDEEN ST,W MADISON ST,60607,-87.65436,41.88167
N ABERDEEN ST & W RANDOLPH ST,N ABERDEEN ST,W RANDOLPH ST,60607,-87.65443,41.88417
N ABERDEEN ST & W WASHINGTON BLVD,N ABERDEEN ST,W WASHINGTON BLVD,60607,-87.6544,41.88302
N ACADEMY PL & W MADISON ST,N ACADEMY PL,W MADISON ST,60607,-87.64795,41.88177
N ACADEMY PL & W WASHINGTON BLVD,N ACADEMY PL,W WASHINGTON BLVD,60607,-87.64798,41.88314
N ADA ST & W ARBOUR PL,N ADA ST,W ARBOUR PL,60607,-87.66101,41.88838
N ADA ST & W BLACKHAWK ST,N ADA ST,W BLACKHAWK ST,60642,-87.66218,41.90706
N ADA ST & W CARROLL AVE,N ADA ST,W CARROLL AVE,60607,-87.66082,41.88747
N ADA ST & W CHICAGO AVE,N ADA ST,W CHICAGO AVE,60642,-87.6614,41.89617
N ADA ST & W CONCORD PL,N ADA ST,W CONCORD PL,60642,-87.66173,41.9122
N ADA ST & W CRYSTAL ST,N ADA ST,W CRYSTAL ST,60642,-87.66168,41.90446
N ADA ST & W ERIE ST,N ADA ST,W ERIE ST,60642,-87.66084,41.89344
N ADA ST & W EVERGREEN AVE,N ADA ST,W EVERGREEN AVE,60642,-87.66161,41.90622
N ADA ST & W FULTON ST,N ADA ST,W FULTON ST,60607,-87.6608,41.88662
N ADA ST & W GRAND AVE,N ADA ST,W GRAND AVE,60642,-87.66078,41.89104
N ADA ST & W HUBBARD ST,N ADA ST,W HUBBARD ST,60642,-87.66088,41.88995
N ADA ST & W HURON ST,N ADA ST,W HURON ST,60642,-87.66136,41.89434
N ADA ST & W KINZIE ST,N ADA ST,W KINZIE ST,60642,-87.66068,41.88886
N ADA ST & W LAKE ST,N ADA ST,W LAKE ST,60607,-87.66077,41.88544
N ADA ST & W MADISON ST,N ADA ST,W MADISON ST,60607,-87.66056,41.88156
N ADA ST & W NORTH AVE,N ADA ST,W NORTH AVE,60642,-87.66116,41.91072
N ADA ST & W OHIO ST,N ADA ST,W OHIO ST,60642,-87.66082,41.89251
N ADA ST & W RANDOLPH ST,N ADA ST,W RANDOLPH ST,60607,-87.66066,41.88408
N ADA ST & W WABANSIA AVE,N ADA ST,W WABANSIA AVE,60642,-87.66272,41.91354
N ADA ST & W WASHINGTON BLVD,N ADA ST,W WASHINGTON BLVD,60607,-87.6606,41.88292
N ALBANY AVE & N ELSTON AVE,N ALBANY AVE,N ELSTON AVE,60618,-87.70531,41.9442
N ALBANY AVE & W ADDISON ST,N ALBANY AVE,W ADDISON ST,60618,-87.70537,41.94665
N ALBANY AVE & W AINSLIE ST,N ALBANY AVE,W AINSLIE ST,60625,-87.70608,41.97029
N ALBANY AVE & W ALBION AVE,N ALBANY AVE,W ALBION AVE,60645,-87.70706,42.00105
N ALBANY AVE & W ALTGELD ST,N ALBANY AVE,W ALTGELD ST,60647,-87.70697,41.92624
N ALBANY AVE & W ARGYLE ST,N ALBANY AVE,W ARGYLE ST,60625,-87.70614,41.97211
N ALBANY AVE & W ARMITAGE AVE,N ALBANY AVE,W ARMITAGE AVE,60647,-87.70521,41.91742
N ALBANY AVE & W ARTHUR AVE,N ALBANY AVE,W ARTHUR AVE,60645,-87.70702,41.99925
N ALBANY AVE & W BELDEN AVE,N ALBANY AVE,W BELDEN AVE,60647,-87.70459,41.92325
N ALBANY AVE & W BELLE PLAINE AVE,N ALBANY AVE,W BELLE PLAINE AVE,60618,-87.70563,41.95575
N ALBANY AVE & W BELMONT AVE,N ALBANY AVE,W BELMONT AVE,60618,-87.70518,41.93935
N ALBANY AVE & W BERTEAU AVE,N ALBANY AVE,W BERTEAU AVE,60618,-87.70569,41.95757
N ALBANY AVE & W BIRCHWOOD AVE,N ALBANY AVE,W BIRCHWOOD AVE,60645,-87.7067,42.01736
N ALBANY AVE & W BLOOMINGDALE AVE,N ALBANY AVE,W BLOOMINGDALE AVE,60647,-87.70517,41.91373
N ALBANY AVE & W BYRON ST,N ALBANY AVE,W BYRON ST,60618,-87.70552,41.95213
N ALBANY AVE & W CARMEN AVE,N ALBANY AVE,W CARMEN AVE,60625,-87.70619,41.97394
N ALBANY AVE & W CARROLL AVE,N ALBANY AVE,W CARROLL AVE,60612,-87.70386,41.88755
N ALBANY AVE & W CHASE AVE,N ALBANY AVE,W CHASE AVE,60645,-87.70678,42.01373
N ALBANY AVE & W CHICAGO AVE,N ALBANY AVE,W CHICAGO AVE,60622,-87.70413,41.89558
N ALBANY AVE & W CORNELIA AVE,N ALBANY AVE,W CORNELIA AVE,60618,-87.70532,41.94476
N ALBANY AVE & W CORTLAND ST,N ALBANY AVE,W CORTLAND ST,60647,-87.70522,41.91559
N ALBANY AVE & W CULLOM AVE,N ALBANY AVE,W CULLOM AVE,60618,-87.70574,41.95938
N ALBANY AVE & W DEVON AVE,N ALBANY AVE,W DEVON AVE,60645,-87.70694,41.99743
N ALBANY AVE & W DICKENS AVE,N ALBANY AVE,W DICKENS AVE,60647,-87.70527,41.91925
N ALBANY AVE & W DIVERSEY AVE,N ALBANY AVE,W DIVERSEY AVE,60618,-87.70498,41.93204
N ALBANY AVE & W EASTWOOD AVE,N ALBANY AVE,W EASTWOOD AVE,60625,-87.70594,41.9656
N ALBANY AVE & W EDDY ST,N ALBANY AVE,W EDDY ST,60618,-87.70534,41.94577
N ALBANY AVE & W FARGO AVE,N ALBANY AVE,W FARGO AVE,60645,-87.70672,42.01645
N ALBANY AVE & W FLETCHER ST,N ALBANY AVE,W FLETCHER ST,60618,-87.70475,41.93848
N ALBANY AVE & W FOSTER AVE,N ALBANY AVE,W FOSTER AVE,60625,-87.70623,41.97577
N ALBANY AVE & W FRANKLIN BLVD,N ALBANY AVE,W FRANKLIN BLVD,60612,-87.70393,41.8901
N ALBANY AVE & W FULLERTON AVE,N ALBANY AVE,W FULLERTON AVE,60647,-87.70464,41.92474
N ALBANY AVE & W FULTON BLVD,N ALBANY AVE,W FULTON BLVD,60612,-87.70382,41.88645
N ALBANY AVE & W GEORGE ST,N ALBANY AVE,W GEORGE ST,60618,-87.70503,41.93387
N ALBANY AVE & W GRACE ST,N ALBANY AVE,W GRACE ST,60618,-87.70547,41.95029
N ALBANY AVE & W GRAND AVE,N ALBANY AVE,W GRAND AVE,60622,-87.70413,41.89731
N ALBANY AVE & W GRANVILLE AVE,N ALBANY AVE,W GRANVILLE AVE,60659,-87.7068,41.99387
N ALBANY AVE & W GUNNISON ST,N ALBANY AVE,W GUNNISON ST,60625,-87.70606,41.96938
N ALBANY AVE & W HOMER ST,N ALBANY AVE,W HOMER ST,60647,-87.70525,41.91652
N ALBANY AVE & W HOOD AVE,N ALBANY AVE,W HOOD AVE,60659,-87.70677,41.99301
N ALBANY AVE & W HOWARD ST,N ALBANY AVE,W HOWARD ST,0,-87.70666,42.01919
N ALBANY AVE & W HURON ST,N ALBANY AVE,W HURON ST,60612,-87.70404,41.89375
N ALBANY AVE & W IRVING PARK RD,N ALBANY AVE,W IRVING PARK RD,60618,-87.70557,41.95394
N ALBANY AVE & W JARLATH ST,N ALBANY AVE,W JARLATH ST,60645,-87.7068,42.01282
N ALBANY AVE & W JARVIS AVE,N ALBANY AVE,W JARVIS AVE,60645,-87.70674,42.01554
N ALBANY AVE & W JEROME ST,N ALBANY AVE,W JEROME ST,60645,-87.70668,42.01827
N ALBANY AVE & W LAKE ST,N ALBANY AVE,W LAKE ST,60612,-87.70375,41.88421
N ALBANY AVE & W LAWRENCE AVE,N ALBANY AVE,W LAWRENCE AVE,60625,-87.70603,41.96848
N ALBANY AVE & W LELAND AVE,N ALBANY AVE,W LELAND AVE,60625,-87.70597,41.96665
